Date,Open,High,Low,Close,Adj Close
2011-09-26,57.122856,57.71143,55.900002,57.595715,49.860462
2011-09-27,58.389999,58.464287,56.865715,57.037144,49.3769
2011-09-28,57.169998,57.677143,56.644287,56.715714,49.098644
2011-09-29,57.417141,57.458572,55.172855,55.795715,48.3022
2011-09-30,55.302856,55.555714,54.454285,54.474285,47.158245
2011-10-03,54.33857,54.662857,53.310001,53.514286,46.327175
2011-10-04,53.509998,54.542858,50.605713,53.214287,46.067471
2011-10-05,52.55143,54.259998,51.471428,54.035713,46.778584
2011-10-06,53.332859,54.968571,53.114285,53.91,46.669743
2011-10-07,53.682858,53.962856,52.64143,52.828571,45.733555
2011-10-10,54.155716,55.544285,54.029999,55.544285,48.084549
2011-10-11,56.081429,57.597141,55.92857,57.184284,49.504288
2011-10-12,58.191429,58.464287,57.162857,57.455715,49.739258
2011-10-13,57.854286,58.347141,57.549999,58.347141,50.510963
2011-10-14,59.547142,60.285713,59.324287,60.285713,52.189182
2011-10-17,60.248573,60.957142,59.419998,59.998573,51.940617
2011-10-18,60.251427,60.687141,59.427143,60.32,52.218872
2011-10-19,57.335712,58.345715,56.828571,56.945713,49.297752
2011-10-20,57.142857,57.192856,56.315716,56.472858,48.88839
2011-10-21,56.871429,57.02,55.82143,56.124287,48.586658
2011-10-24,56.597141,58.07143,56.485714,57.967144,50.182007
2011-10-25,57.861427,58.078571,56.76857,56.824287,49.192642
2011-10-26,57.394287,57.507141,56.164288,57.228573,49.542629
2011-10-27,58.222858,58.42857,57.412857,57.812859,50.048447
2011-10-28,57.57143,58.049999,57.501427,57.849998,50.080601
2011-10-31,57.488571,58.475716,57.292858,57.825714,50.059574
2011-11-01,56.772858,57.07143,56.174286,56.644287,49.036808
2011-11-02,57.155716,57.205715,56.444286,56.772858,49.148113
2011-11-03,57.009998,57.628571,56.48,57.581429,49.848099
2011-11-04,57.432858,57.634285,57.022858,57.177143,49.498108
2011-11-07,57.130001,57.142857,56.59,57.104286,49.43502
2011-11-08,57.458572,58.285713,57.365715,58.032856,50.238895
2011-11-09,56.709999,57.27,56.318573,56.468571,48.884686
2011-11-10,56.718571,56.744286,54.592857,55.031429,47.64056
2011-11-11,55.23,55.528572,54.322857,54.945713,47.566364
2011-11-14,54.78857,55.035713,54.028572,54.18,46.903492
2011-11-15,54.400002,55.642857,54.207142,55.547142,48.087025
2011-11-16,55.607143,55.877144,54.902859,54.967144,47.584904
2011-11-17,54.854286,54.939999,53.642857,53.915714,46.674698
2011-11-18,54.131428,54.284286,53.554287,53.562859,46.369225
2011-11-21,52.914288,53.097141,52.272858,52.715714,45.635864
2011-11-22,53.002857,53.990002,52.991428,53.787144,46.563393
2011-11-23,53.501427,53.691429,52.41143,52.427143,45.386036
2011-11-25,52.631428,53.021427,51.902859,51.938572,44.963081
2011-11-28,53.192856,53.817142,52.904285,53.73143,46.515156
2011-11-29,53.691429,54.118572,52.885715,53.314285,46.154041
2011-11-30,54.470001,54.611427,54.042858,54.599998,47.267067
2011-12-01,54.648571,55.57143,54.392857,55.418571,47.975708
2011-12-02,55.689999,56.232857,55.511429,55.671429,48.194618
2011-12-05,56.212856,56.630001,55.77,56.144287,48.603958
2011-12-06,56.072857,56.375713,55.625713,55.849998,48.349205
2011-12-07,55.704285,55.848572,55.251427,55.584286,48.119171
2011-12-08,55.921429,56.5,55.747143,55.808571,48.313335
2011-12-09,56.121429,56.291428,55.861427,56.23143,48.679405
2011-12-12,55.954285,56.271427,55.635715,55.977142,48.459263
2011-12-13,56.142857,56.485714,55.299999,55.544285,48.084549
2011-12-14,55.242859,55.34,53.954285,54.312859,47.018505
2011-12-15,54.761429,54.82,54.044285,54.134285,46.863922
2011-12-19,54.638573,54.978573,54.354286,54.601429,47.268322
2011-12-20,55.394287,56.585712,55.322857,56.564285,48.967567
2011-12-21,56.669998,56.757141,56.001427,56.635715,49.0294
2011-12-22,56.714287,57.01857,56.585712,56.935715,49.289097
2011-12-23,57.098572,57.655716,57.07,57.618572,49.880241
2011-12-27,57.585712,58.441429,57.574287,58.075714,50.275993
2011-12-28,58.127144,58.32143,57.334286,57.52,49.794914
2011-12-29,57.628571,57.950001,57.215714,57.874287,50.101627
2011-12-30,57.644287,58.040001,57.64143,57.857143,50.086784
